entity 1,relation,entity 2,sentence
Varcas,son of,Soma,Abhimanyu son of Arjuna and Subhadrā sister of Kṛṣṇa is an incarna tion of Varcas son of Soma wherefore he enters Soma after death after his Karman has elapsed   etymology of his name  he is the vaṃśakara of the Pāṇḍavas . In the  beginning of the exile of the Pāṇḍavas he is carried to Dvārakā with his mother by Kṛṣṇa where he is educated and protected by Raukmiṇeya . After the elapse of the exile he joins the Pāṇḍavas in Upaplavya with Kṛṣṇa and Subhadrā and is there married to Uttarā daughter of king Virāṭa . He fights bravely in the great battle until he on the th day when enjoined by Yudhiṣṭhira to break Droṇas cakravyūha is surrounded and killed by Jayadratha and his people leaving his wife Uttarā with a yet unborn son Parikṣit the only one left to propagate the race of the Pāṇḍavas. At first he is not seen in Heaven by Yudhiṣṭhira but later he is shown to him beside Soma in Heaven   . l . g .  st day of the battle .  nd day of the battle .  rd day .  th day .  th day .  th day .  th day .  th day .  th day .  th day .  th day .  th day .  th day . Cf. Ārjuni Saubhadra Kārṣṇi Arjunātmaja Arjunāvara Phālguni Śakrātmajātmaja.
rājarṣi,son of,Vaśiṣṭha,Aśmaka1 a rājarṣi son of Vaśiṣṭha and Madayantī the wife of Kalmāṣapāda .
Aśvatthāman1,son of,Droṇa,Aśvatthāman1 son of Droṇa and Kṛpī     . b  . b .                        ii      fights Sātyaki          ʹ ʹ . Cf. Ācāryanandana Ācāryaputra Ācāryasuta Ācāryatanaya Ācāryasattama Drauṇi Drauṇāyani Droṇaputra Droṇasūnu Guruputra Guroḥsuta Aṅgirasāṃ variṣṭhaḥ Bhāratācāryaputra.
Adri1,son of,Viśvagaśva,Adri1 son of Viśvagaśva descendant of Ikṣvāku .
Adṛḍha,son of,Jarāsandha,Adṛḍha son of Jarāsandha  .
Aja6,son of,Jahnu,Aja6 son of Jahnu .
Akṣīṇa,son of,Viśvāmitra,Akṣīṇa son of Viśvāmitra. b .
Alolupa,son of,Dhṛtarāṣṭra,Alolupa son of Dhṛtarāṣṭra   .  = the Sun .
Amatsyāśin,son of,Viśvāmitra,Amatsyāśin son of Viśvāmitra .
Amāvasu,son of,Purūravas,Amāvasu son of Purūravas and Urvaśī .
Ambhoruha,son of,Viśvāmitra,Ambhoruha son of Viśvāmitra. b .
Anādhṛṣṭi3,son of,Dhṛtarāṣṭra,Anādhṛṣṭi3 son of Dhṛtarāṣṭra  .
Suparṇa,son of,Garuḍa,Anagha6 a Suparṇa son of Garuḍa .
Vasus,son of,Prajāpati,Anala1 one of the eight Vasus son of Prajāpati  or Dharma  and Śāṇḍilī and father of Skanda. See Agni Viṣṇu Kṛṣṇa Śiva.
Suparṇa,son of,Garuḍa,Anala2 a Suparṇa son of Garuḍa .
Anaṅga1,son of,Kardama,Anaṅga1 son of Kardama .
Anenas,son of,Āyus,Anenas son of Āyus and Svarbhānavī .
Aṅgada2,son of,Dhṛtarāṣṭra,Aṅgada2 son of Dhṛtarāṣṭra . Cf. Cārucitrāṅgada.
Aṅghrika,son of,Viśvāmitra,Aṅghrika son of Viśvāmitra .
