head,relation,tail,text
dhritaarashtra,brother of,shakuni,"acala1, brother in law of dhritaarashtra, brother of shakuni."
ashvashanku,brother of,ashva,"ashvashanku, brother of ashva, cf."
ashvashiras1,brother of,ashva,"ashvashiras1, brother of ashva, is incarnated as a king among the kaikeyas."
ashvagriva1,brother of,ashva,"ashvagriva1, brother of ashva, incarnated as king rocamaana."
ashvapati1,brother of,ashva1,"ashvapati1, brother of ashva1, incarnate as king haardikya."
anikavidaarana,brother of,jayadratha,"anikavidaarana, brother of jayadratha."
carmavat,brother of,shakuni,"carmavat, brother of shakuni."
citra4,brother of,citrasena,"citra4, brother of citrasena, the abhisaara king."
citraratha3,brother of,the paancaala prince,"citraratha3, brother of the paancaala prince viraketu."
citrasena6,brother of,citra,"citrasena6, king of the abhisaaras, brother of citra."
citrasena8,brother of,karna,"citrasena8, brother of karna."
citravarman3,brother of,viraketu,"citravarman3, brother of viraketu."
somadatta,brother of,bhuri,"shala3, son of somadatta and brother of bhuri and bhurishravas."
somadatta,brother of,bhurishravas,"shala3, son of somadatta and brother of bhuri and bhurishravas."
shalya,brother of,maadri,"shalya, king of the madras, brother of maadri, the wife of paandu, and father of rukmaratha                                                ʹ."
shankha3,brother of,likhita,"shankha3, an ancient rishi, brother of likhita."
sharabha6,brother of,shakuni,"sharabha6, brother of shakuni."
shatrunjaya3,brother of,karna,"shatrunjaya3, brother of karna."
shrutasena1,brother of,janamejaya,"shrutasena1, brother of janamejaya paarikshita."
shrutaayus3,brother of,acyutaayus,"shrutaayus3, brother of acyutaayus."
dhaumya1,brother of,asita,"dhaumya1, the purohita of the paandavas, younger brother of asita devala."
dhaumya,brother of,devala,"at that time dhaumya, the younger brother of devala, was dwelling at the tirtha named utkocaka, engaged in ascetic penances."
dvita,brother of,ekata,"dvita, a rishi, brother of ekata and trita."
dvita,brother of,trita,"dvita, a rishi, brother of ekata and trita."
ekata,brother of,dvita,"ekata, a rishi, brother of dvita and trita."
ekata,brother of,trita,"ekata, a rishi, brother of dvita and trita."
gaja,brother of,shakuni,"gaja, a gaandhaara warrior, the younger brother of shakuni."
subala,brother of,shakuni,"gavaaksha2, a gandhaara warrior, son of subala and brother of shakuni."
